file,task,config,optimizer,cell,hidden,cemb,score,all-acc,all-pre,all-rec,kno-tok-acc,kno-tok-pre,kno-tok-rec,unk-tok-acc,unk-tok-pre,unk-tok-rec,amb-tok-acc,amb-tok-pre,amb-tok-rec,unk-tar-acc,unk-tar-pre,unk-tar-rec,rank-all-acc,rank-all-pre,rank-all-rec,rank-kno-tok-acc,rank-kno-tok-pre,rank-kno-tok-rec,rank-unk-tok-acc,rank-unk-tok-pre,rank-unk-tok-rec,rank-amb-tok-acc,rank-amb-tok-pre,rank-amb-tok-rec,rank-unk-tar-acc,rank-unk-tar-pre,rank-unk-tar-rec
./models/latin-upvc-single-lemma-complexe3-lemma-2021_02_27-11_30_22.tar,lemma,Adam-LSTM-H170-C256,Adam,LSTM,170,256,0.0,96.94,80.58999999999999,80.55,97.47,88.87,89.03,86.21,70.05,70.04,91.85,65.31,66.81,44.11,28.32,28.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./models/latin-upvc-single-lemma-complexe3-lemma-2021_02_27-09_33_05.tar,lemma,Adam-LSTM-H170-C256,Adam,LSTM,170,256,0.0,96.96000000000001,81.73,81.43,97.41,88.26,88.28,87.68,73.59,73.11,91.77,65.56,67.16,61.41,44.68,44.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./models/latin-upvc-single-lemma-complexe5-lemma-2021_02_28-12_28_02.tar,lemma,Ranger-LSTM-H128-C300,Ranger,LSTM,128,300,0.0,96.96000000000001,80.89,80.39,97.47,88.05,87.98,86.52,71.81,71.31,92.04,66.16,67.27,62.13999999999999,45.6,45.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./models/latin-upvc-single-lemma-complexe2-lemma-2021_02_26-16_10_58.tar,lemma,Adam-LSTM-H170-C200,Adam,LSTM,170,200,0.0,97.0,81.41000000000001,80.83,97.47,87.86,87.75,87.53,73.2,72.68,92.04,65.10000000000001,66.75999999999999,63.41,46.839999999999996,46.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./models/latin-upvc-single-lemma-complexe2-lemma-2021_02_27-02_01_34.tar,lemma,Adam-LSTM-H170-C200,Adam,LSTM,170,200,0.0,97.0,81.62,81.3,97.46000000000001,88.4,88.44999999999999,87.58,73.03,72.64,91.96,65.19,66.97,61.59,44.95,44.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./models/latin-upvc-single-lemma-complexe2-lemma-2021_02_27-03_40_27.tar,lemma,Adam-LSTM-H170-C200,Adam,LSTM,170,200,0.0,97.04,81.05,80.86,97.57000000000001,89.25,89.23,86.4,70.78,70.43,92.25,66.67,67.77,48.46,32.14,31.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./models/latin-upvc-single-lemma-complexe3-lemma-2021_02_27-15_29_52.tar,lemma,Adam-LSTM-H170-C256,Adam,LSTM,170,256,0.0,97.05,82.33,81.96,97.49,88.67,88.7,88.09,74.33999999999999,73.88,92.02,65.95,67.25,61.14000000000001,44.55,44.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./models/latin-upvc-single-lemma-complexe5-lemma-2021_03_01-06_01_07.tar,lemma,Ranger-LSTM-H128-C300,Ranger,LSTM,128,300,0.0,97.05,81.92,81.73,97.56,89.91,89.95,86.75,71.33,71.17,92.02,67.28,68.08999999999999,47.92,31.85,31.790000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./models/latin-upvc-single-lemma-complexe6-lemma-2021_03_01-10_48_51.tar,lemma,Ranger-LSTM-H128-C250,Ranger,LSTM,128,250,0.0,97.05,83.05,82.95,97.48,89.67,89.86,88.22,74.47,74.19,91.82000000000001,66.83,68.32000000000001,59.06,42.089999999999996,42.089999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./models/latin-upvc-single-lemma-complexe2-lemma-2021_02_26-23_22_07.tar,lemma,Adam-LSTM-H170-C200,Adam,LSTM,170,200,0.0,97.08,81.51,81.24,97.6,89.44,89.38000000000001,86.6,71.11,70.89,92.27,66.69,67.92,48.730000000000004,32.35,32.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./models/latin-upvc-single-lemma-complexe3-lemma-2021_02_27-17_05_26.tar,lemma,Adam-LSTM-H170-C256,Adam,LSTM,170,256,0.0,97.08,82.37,81.99,97.52,88.81,88.82,88.03999999999999,74.2,73.7,92.07,66.23,67.69,62.32,45.769999999999996,45.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
