,task,config,optimizer,cell,hidden,cemb,score,all-acc,all-pre,all-rec,kno-tok-acc,kno-tok-pre,kno-tok-rec,unk-tok-acc,unk-tok-pre,unk-tok-rec,amb-tok-acc,amb-tok-pre,amb-tok-rec,unk-tar-acc,unk-tar-pre,unk-tar-rec,rank-all-acc,rank-all-pre,rank-all-rec,rank-kno-tok-acc,rank-kno-tok-pre,rank-kno-tok-rec,rank-unk-tok-acc,rank-unk-tok-pre,rank-unk-tok-rec,rank-amb-tok-acc,rank-amb-tok-pre,rank-amb-tok-rec,rank-unk-tar-acc,rank-unk-tar-pre,rank-unk-tar-rec
./models/latin-upc-single-lemma-complexe2-lemma-2021_03_05-14_44_56.tar,lemma,Ranger-LSTM-H128-C250,Ranger,LSTM,128,250,9.633333333333333,97.23,83.73,83.36,97.67,90.25,90.21000000000001,88.64999999999999,75.22,74.79,92.22,67.77,68.66,61.89,45.050000000000004,44.79,10.0,1.0,1.0,11.5,6.0,7.0,1.5,1.0,1.0,15.0,20.0,17.0,17.5,17.0,18.0
./models/latin-upc-single-lemma-complexe2-lemma-2021_03_06-18_11_19.tar,lemma,Ranger-LSTM-H170-C200,Ranger,LSTM,170,200,22.966666666666665,97.23,82.35,82.03,97.72999999999999,90.2,90.10000000000001,87.24,72.26,71.96000000000001,92.56,68.45,68.93,54.11,37.36,37.11,10.0,24.0,23.0,6.5,8.0,9.0,27.0,31.0,29.0,7.0,10.0,13.0,49.0,49.0,49.0
./models/latin-upc-single-lemma-complexe2-lemma-2021_03_07-02_16_55.tar,lemma,Ranger-LSTM-H128-C200,Ranger,LSTM,128,200,9.333333333333334,97.23,83.2,82.85,97.66,89.67,89.64,88.64999999999999,75.07000000000001,74.74,92.32000000000001,67.89,69.13,62.33,45.78,45.62,10.0,4.0,4.0,14.0,22.5,21.5,1.5,2.0,2.0,10.0,17.0,11.0,7.0,7.0,6.5
./models/latin-upc-single-lemma-complexe2-lemma-2021_03_07-14_34_24.tar,lemma,Ranger-LSTM-H170-C200,Ranger,LSTM,170,200,19.433333333333334,97.23,82.72,82.39999999999999,97.7,89.84,89.83,87.87,73.68,73.28,92.47999999999999,68.04,69.02000000000001,59.06,42.25,42.01,10.0,15.0,12.5,8.5,16.5,15.5,17.0,17.0,16.5,9.0,13.0,12.0,43.0,43.0,43.0
./models/latin-upc-single-lemma-complexe2-lemma-2021_03_08-18_49_01.tar,lemma,Ranger-LSTM-H170-C300,Ranger,LSTM,170,300,26.566666666666666,97.23,82.02000000000001,81.86,97.77,90.55,90.57,86.6,71.13000000000001,70.89999999999999,92.61,68.8,69.63000000000001,47.48,31.64,31.55,10.0,26.0,25.0,2.5,2.0,2.0,43.0,48.0,43.0,5.0,4.0,3.0,63.0,61.0,61.0
./models/latin-upc-single-lemma-complexe2-lemma-2021_03_04-19_16_16.tar,lemma,Ranger-LSTM-H128-C300,Ranger,LSTM,128,300,5.9,97.24000000000001,83.59,83.19,97.68,90.27,90.27,88.49000000000001,74.98,74.52,92.25,68.52000000000001,69.3,62.33,45.89,45.660000000000004,6.5,2.0,2.0,10.0,5.0,6.0,4.0,4.0,4.0,13.5,7.0,7.0,7.0,5.5,5.0
./models/latin-upc-single-lemma-complexe2-lemma-2021_03_07-16_50_56.tar,lemma,Ranger-LSTM-H128-C200,Ranger,LSTM,128,200,12.233333333333333,97.24000000000001,82.77,82.19,97.7,89.59,89.47,88.1,74.05000000000001,73.59,92.5,68.5,69.14,62.78,46.08,45.82,6.5,14.0,21.0,8.5,28.0,29.0,11.0,14.0,14.0,8.0,8.5,10.0,3.0,4.0,4.0
./models/latin-upc-single-lemma-complexe2-lemma-2021_03_07-07_57_58.tar,lemma,Ranger-LSTM-H170-C200,Ranger,LSTM,170,200,18.533333333333335,97.25,82.69,82.31,97.72999999999999,89.84,89.83,87.64,73.39,72.98,92.62,68.86,69.8,58.89,42.02,41.949999999999996,5.0,17.0,17.0,6.5,16.5,15.5,20.5,20.0,19.0,4.0,3.0,2.0,44.0,44.0,44.0
./models/latin-upc-single-lemma-complexe2-lemma-2021_03_09-03_11_45.tar,lemma,Ranger-LSTM-H170-C300,Ranger,LSTM,170,300,20.933333333333334,97.26,82.58,82.39999999999999,97.77,90.75999999999999,90.79,87.0,71.91,71.57,92.60000000000001,69.74000000000001,70.15,50.4,33.989999999999995,33.73,4.0,20.0,12.5,2.5,1.0,1.0,35.0,36.0,35.0,6.0,1.0,1.0,53.0,53.0,53.0
./models/latin-upc-single-lemma-complexe2-lemma-2021_03_06-11_52_46.tar,lemma,Ranger-LSTM-H170-C200,Ranger,LSTM,170,200,9.066666666666666,97.28,82.87,82.38,97.74000000000001,89.67,89.63,88.06,74.24,73.71,92.63,68.73,69.28999999999999,63.660000000000004,47.099999999999994,46.93,3.0,11.0,15.0,5.0,22.5,23.5,13.0,12.0,12.0,3.0,5.0,8.0,1.0,1.0,1.0
./models/latin-upc-single-lemma-complexe2-lemma-2021_03_07-00_43_32.tar,lemma,Ranger-LSTM-H170-C200,Ranger,LSTM,170,200,9.433333333333334,97.31,83.1,82.72,97.76,89.77000000000001,89.77000000000001,88.44999999999999,74.61,74.15,92.7,67.95,68.89,62.07,45.37,45.08,2.0,7.0,7.5,4.0,19.0,18.0,5.0,6.0,6.0,2.0,14.0,14.0,13.0,12.0,12.0
./models/latin-upc-single-lemma-complexe2-lemma-2021_03_08-16_59_43.tar,lemma,Ranger-LSTM-H170-C250,Ranger,LSTM,170,250,8.5,97.34,83.19,82.84,97.78999999999999,90.10000000000001,90.08,88.44,74.6,74.06,92.73,68.97999999999999,69.49,61.629999999999995,44.629999999999995,44.440000000000005,1.0,5.5,5.0,1.0,10.0,10.0,6.0,7.0,7.5,1.0,2.0,5.0,22.0,22.5,22.0
