POS	Code	Case	Code	Number	Code	Genre	Code	Degre	Code	Mode	Code	Temps	Code	Voix	Code	Personne	Code	Morph	Empty
Verbe	VER	Vocatif	Voc	Singulier	Sing	Commun	Com			Participe	Par	Futur	Fut	Actif	Act				
Verbe	VER	Accusatif	Acc	Singulier	Sing	Commun	Com			Participe	Par	Futur	Fut	Actif	Act				
Verbe	VER	Génitif	Gen	Singulier	Sing	Commun	Com			Participe	Par	Futur	Fut	Actif	Act				
Verbe	VER	Datif	Dat	Singulier	Sing	Commun	Com			Participe	Par	Futur	Fut	Actif	Act				
Verbe	VER	Ablatif	Abl	Singulier	Sing	Commun	Com			Participe	Par	Futur	Fut	Actif	Act				
Verbe	VER	Locatif	Loc	Singulier	Sing	Commun	Com			Participe	Par	Futur	Fut	Actif	Act				
																			
Verbe	VER	Nominatif	Nom	Pluriel	Plur	Commun	Com			Participe	Par	Futur	Fut	Actif	Act				
Verbe	VER	Vocatif	Voc	Pluriel	Plur	Commun	Com			Participe	Par	Futur	Fut	Actif	Act				
Verbe	VER	Accusatif	Acc	Pluriel	Plur	Commun	Com			Participe	Par	Futur	Fut	Actif	Act				
Verbe	VER	Génitif	Gen	Pluriel	Plur	Commun	Com			Participe	Par	Futur	Fut	Actif	Act				
Verbe	VER	Datif	Dat	Pluriel	Plur	Commun	Com			Participe	Par	Futur	Fut	Actif	Act				
Verbe	VER	Ablatif	Abl	Pluriel	Plur	Commun	Com			Participe	Par	Futur	Fut	Actif	Act				
Verbe	VER	Locatif	Loc	Pluriel	Plur	Commun	Com			Participe	Par	Futur	Fut	Actif	Act				
																			
Verbe	VER	Nominatif	Nom	Singulier	Sing	Féminin	Fem			Participe	Par	Futur	Fut	Actif	Act				
Verbe	VER	Vocatif	Voc	Singulier	Sing	Féminin	Fem			Participe	Par	Futur	Fut	Actif	Act				
Verbe	VER	Accusatif	Acc	Singulier	Sing	Féminin	Fem			Participe	Par	Futur	Fut	Actif	Act				
Verbe	VER	Génitif	Gen	Singulier	Sing	Féminin	Fem			Participe	Par	Futur	Fut	Actif	Act				
Verbe	VER	Datif	Dat	Singulier	Sing	Féminin	Fem			Participe	Par	Futur	Fut	Actif	Act				
Verbe	VER	Ablatif	Abl	Singulier	Sing	Féminin	Fem			Participe	Par	Futur	Fut	Actif	Act				
Verbe	VER	Locatif	Loc	Singulier	Sing	Féminin	Fem			Participe	Par	Futur	Fut	Actif	Act				
																			
Verbe	VER	Nominatif	Nom	Pluriel	Plur	Féminin	Fem			Participe	Par	Futur	Fut	Actif	Act				
Verbe	VER	Vocatif	Voc	Pluriel	Plur	Féminin	Fem			Participe	Par	Futur	Fut	Actif	Act				
Verbe	VER	Accusatif	Acc	Pluriel	Plur	Féminin	Fem			Participe	Par	Futur	Fut	Actif	Act				
Verbe	VER	Génitif	Gen	Pluriel	Plur	Féminin	Fem			Participe	Par	Futur	Fut	Actif	Act				
Verbe	VER	Datif	Dat	Pluriel	Plur	Féminin	Fem			Participe	Par	Futur	Fut	Actif	Act				
Verbe	VER	Ablatif	Abl	Pluriel	Plur	Féminin	Fem			Participe	Par	Futur	Fut	Actif	Act				
