,S,Ignore,URN,Nom FR,Birth,Death,certainty,certainty.1,Citation level,Name of citation level,Sources,Sources Pages,Notes,Nom EN,Titre
73,,,urn:cts:latinLit:stoa0192a.stoa001.digilibLT-lat1,,,,,,,"books,chapter",,,,Martianus Capella,De nuptiis Philologiae et Mercurii
74,,,urn:cts:latinLit:stoa0213a.stoa001.digilibLT-lat1,,,,,,,"book,chapter,section",,,,Nonius Marcellus,De compendiosa doctrina libri XX
75,,,urn:cts:latinLit:stoa0228b.stoa002.digilibLT-lat1,,,,,,,"book,scholia",,,,Philargirius (Ps.),Breuis expositio Vergilii Georgicorum
76,,,urn:cts:latinLit:stoa0259.stoa002.digilibLT-lat1,,,,,,,"book,chapter",,,,Servius,Commentarius in Vergilii Aeneidos libros
77,,,urn:cts:latinLit:stoa0271.stoa001.digilibLT-lat1,,,,,,,"book,chapter",,,,Quintus Aurelius Symmachus,Relationes
78,,,urn:cts:latinLit:stoa0293b.stoa001.digilibLT-lat1,Vindicianus,632.0,712.0,,,,p,,,,Vindicianus,Epistula ad Pentadium nepotem suum
79,,,urn:cts:latinLit:stoa0293b.stoa003.digilibLT-lat1,Vindicianus,632.0,712.0,,,,paragraph,,,,Vindicianus,Epitome anonyma (quae gynaecia uocatur) recensio M
80,,,urn:cts:latinLit:stoa0318.stoa002.digilibLT-lat1,,,,,,,"chapter,paragraph",,,,Excerpta Valesiana pars posterior,Origo Constantini imperatoris (= Excerpta Valesiana pars prior)
81,,,urn:cts:latinLit:stoa0323.stoa001.digilibLT-lat1,,,,,,,"chapter,paragraph",,,,Historia Apollonii regis Tyri recensio B,Historia Apollonii regis Tyri recensio B
82,,,urn:cts:latinLit:stoa0329.stoa001.digilibLT-lat1,Pèlerin de Bordeaux,300.0,350.0,low,low,,chapter,http://www.persee.fr/doc/rebyz_0766-5598_1998_num_56_1_1962_t1_0317_0000_2,,333,Anonymous,Itinerarium Hierosolymitanum‏
83,,,urn:cts:latinLit:stoa0349.stoa001.digilibLT-lat1,,,,,,,paragraph,,,,Testamentum Porcelli,Testamentum Porcelli
84,,,urn:cts:latinLit:stoa0357c.stoa001.digilibLT-lat1,,,,,,,"book,scholia",,,,Adnotationes super Lucanum,Adnotationes super Lucanum
85,,,urn:cts:latinLit:stoa0357c.stoa002.digilibLT-lat1,,,,,,,"book,scholia",,,,Adnotationes super Lucanum,Adnotationes super Lucanum: supplementum
86,,,urn:cts:latinLit:stoa0357c.stoa004.digilibLT-lat1,,,,,,,"books,scholia",,,,Adnotationes super Lucanum,Commenta Bernensia in Lucanum
87,,,urn:cts:latinLit:stoa0359.stoa004.digilibLT-lat1,,,,,,,paragraph,,,,Vita Vergilii (Bernensis),Vita Vergilii (Bernensis)
88,,,urn:cts:latinLit:stoa0364.stoa001.digilibLT-lat1,,,,,,,"book,chapter",,,,Mythographus Vaticanus I,Mythographus Vaticanus I
89,,,urn:cts:latinLit:stoa0365.stoa002.digilibLT-lat1,,,,,,,"chapter,paragraph",,,,De Taxone (Recensio β),De Physiognomonia liber
